DNR Parameter,Parameter Type,Description,Result,Units,Present/Absent,Analysis Method,Start Date/Time,Analysis Date/Time,Result Depth,Header/Labslip Depth,Lab ID,Sample/Labslip ID,Lab Method,Result Comments,Lab Comments,LOD,Lower Bound,LOQ,Upper Bound,ID No,ID Point No,Second ID No,Fieldwork Event Field No,Sample/Labslip Field No,Project #,Sample Description,Location Description,Monitoring Location Latitude,Monitoring Location Longitude,Monitoring Station Latitude,Monitoring Station Longitude,Received,Reported,Station ID,Station Name,WBIC,Official Waterbody Name,Station Type,Watershed,County,WMU,Lab Account Code
10,DNR_STORET,TEMPERATURE FIELD,23.8,C,,,9/6/2006 10:30,9/6/2006 10:30,,,113133790,IR006204,FIELD TESTS,,,,,,,703055,,191100,LONG,LONG,,GRAB,LONG LAKE - EAST BASIN,44.21839,-89.1125,44.21839,-89.1125,9/7/2006,9/26/2006,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WT069
10,DNR_STORET,TEMPERATURE FIELD,25.2,C,,,8/25/1993 10:20,,,1 Feet,113133790,IE005953,,,,,,,,703055,,,SURFACE,SURFACE,,,LONG LAKE EAST BASIN - WISC. LAKE MGMT. PLAN GRANT PROG.,44.21,-89.11,44.21839,-89.1125,8/26/1993,9/27/1993,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR176
10,DNR_STORET,TEMPERATURE FIELD,7,C,,,8/25/1993 10:20,,,48 Feet,113133790,IE005954,,,,,,,,703055,,,SURFACE,BOTTOM,,,LONG LAKE - EAST BASIN - WISC. LAKE MGMT. PLAN GRANT PROG.,44.21,-89.11,44.21839,-89.1125,8/26/1993,9/27/1993,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR176
10,DNR_STORET,TEMPERATURE FIELD,23.8,C,,,7/27/1993 11:10,,,1 Feet,113133790,IE002944,,,,,,,,703055,,,SURFACE,SURFACE,,WI LAKE MGMT. PLAN. GRANT PROG.,LONG LAKE NEAR SAXEVILLE - E. BASIN,44.21,-89.11,44.21839,-89.1125,7/28/1993,8/24/1993,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR176
10,DNR_STORET,TEMPERATURE FIELD,6.5,C,,,7/27/1993 11:10,,,54 Feet,113133790,IE002945,,,,,,,,703055,,,SURFACE,BOTTOM,,WI LAKE MGMT. PLAN. GRANT PROG.,LONG LAKE NEAR SAXEVILLE - E. BASIN,44.21,-89.11,44.21839,-89.1125,7/28/1993,8/24/1993,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR176
10,DNR_STORET,TEMPERATURE FIELD,10,C,,,5/4/1994 11:00,,,1 Feet,113133790,IE024927,,,,,,,,703055,,,SURFACE,SURFACE,,WISCONSIN LAKE PLANNING GRANT PROG.,LONG LAKE NEAR SAXEVILLE - EAST BASIN,44.21,-89.11,44.21839,-89.1125,5/5/1994,6/21/1994,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR204
10,DNR_STORET,TEMPERATURE FIELD,7.5,C,,,5/4/1994 11:00,,,60 Feet,113133790,IE024928,,,,,,,,703055,,,SURFACE,BOTTOM,,WISCONSIN LAKE PLANNING GRANT PROG.,LONG LAKE NEAR SAXEVILLE - EAST BASIN,44.21,-89.11,44.21839,-89.1125,5/5/1994,6/21/1994,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR204
20,DNR_STORET,AMBIENT AIR TEMPERATURE - FIELD,21.1,C,,,8/22/2002 13:00,,,"0 to 2 Meters, 2 to 0 Meters",113133790,IN004809,FIELD TESTS,,,,,,,703055,,191100,LO2,LO2,,DEEP SPOT - INTEGRATED SAMPLE 0-2M,LONG LAKE - SAXEVILLE,44.21,-89.11,44.21839,-89.1125,8/23/2002,9/23/2002,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,FH024
20,DNR_STORET,AMBIENT AIR TEMPERATURE - FIELD,21.1,C,,,8/22/2002 13:00,,,"0 to 2 Meters, 2 to 0 Meters",113133790,IN004809,VOLUME FIELD FILT FOR CHLOROPHYLL A (SM 10200H),,,,,,,703055,,191100,LO2,LO2,,DEEP SPOT - INTEGRATED SAMPLE 0-2M,LONG LAKE - SAXEVILLE,44.21,-89.11,44.21839,-89.1125,8/23/2002,9/23/2002,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,FH024
20,DNR_STORET,AMBIENT AIR TEMPERATURE - FIELD,21.1,C,,,8/22/2002 13:00,,,"0 to 2 Meters, 2 to 0 Meters",113133790,IN004809,FIELD TESTS,,,,,,,703055,,191100,LO2,LO2,,DEEP SPOT - INTEGRATED SAMPLE 0-2M,LONG LAKE - SAXEVILLE,44.21,-89.11,44.21839,-89.1125,8/23/2002,9/23/2002,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,FH024
20,DNR_STORET,AMBIENT AIR TEMPERATURE - FIELD,20.6,C,,,8/17/2006 0:00,8/17/2006 0:00,,,113133790,IR004364,FIELD TESTS,,,,,,,703055,,191100,LONG,LONG,,GRAB,LONG LAKE - EAST BASIN,44.21839,-89.1125,44.21839,-89.1125,8/18/2006,9/26/2006,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WT069
20,DNR_STORET,AMBIENT AIR TEMPERATURE - FIELD,28.3,C,,,9/6/2006 10:30,9/6/2006 10:30,,,113133790,IR006204,FIELD TESTS,,,,,,,703055,,191100,LONG,LONG,,GRAB,LONG LAKE - EAST BASIN,44.21839,-89.1125,44.21839,-89.1125,9/7/2006,9/26/2006,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WT069
32,DNR_STORET,CLOUD COVER,50,%,,,6/23/1993 3:15,,,1 Feet,113133790,ID108650,,,,,,,,703055,,,SURFACE,SURFACE,,WISC. LAKE MGMT. PLAN GRANT PROG.,LONG LAKE NEAR SAXEVILLE - E. BASIN,44.21,-89.11,44.21839,-89.1125,6/24/1993,7/13/1993,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR133
32,DNR_STORET,CLOUD COVER,50,%,,,6/23/1993 3:15,,,53 Feet,113133790,ID108651,,,,,,,,703055,,,SURFACE,BOTTOM,,WISC. LAKE MGMT. PLAN GRANT PROG.,LONG LAKE NEAR SAXEVILLE - E. BASIN,44.21,-89.11,44.21839,-89.1125,6/24/1993,7/13/1993,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR133
32,DNR_STORET,CLOUD COVER,100,%,,,3/2/1994 10:00,,,2 Feet,113133790,IE019319,,,,,,,,703055,,,SURFACE,SURFACE,,,LONG LAKE (NEAR SAXEVILLE) EAST BASIN,44.21,-89.11,44.21839,-89.1125,3/3/1994,3/25/1994,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR204
32,DNR_STORET,CLOUD COVER,100,%,,,3/2/1994 10:00,,,48 Feet,113133790,IE019320,,,,,,,,703055,,,SURFACE,BOTTOM,,,LONG LAKE (NEAR SAXEVILLE) EAST BASIN,44.21,-89.11,44.21839,-89.1125,3/3/1994,3/25/1994,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR204
32,DNR_STORET,CLOUD COVER,100,%,,,8/22/2002 13:00,,,"0 to 2 Meters, 2 to 0 Meters",113133790,IN004809,FIELD TESTS,,,,,,,703055,,191100,LO2,LO2,,DEEP SPOT - INTEGRATED SAMPLE 0-2M,LONG LAKE - SAXEVILLE,44.21,-89.11,44.21839,-89.1125,8/23/2002,9/23/2002,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,FH024
32,DNR_STORET,CLOUD COVER,100,%,,,8/22/2002 13:00,,,"0 to 2 Meters, 2 to 0 Meters",113133790,IN004809,VOLUME FIELD FILT FOR CHLOROPHYLL A (SM 10200H),,,,,,,703055,,191100,LO2,LO2,,DEEP SPOT - INTEGRATED SAMPLE 0-2M,LONG LAKE - SAXEVILLE,44.21,-89.11,44.21839,-89.1125,8/23/2002,9/23/2002,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,FH024
32,DNR_STORET,CLOUD COVER,100,%,,,8/22/2002 13:00,,,"0 to 2 Meters, 2 to 0 Meters",113133790,IN004809,FIELD TESTS,,,,,,,703055,,191100,LO2,LO2,,DEEP SPOT - INTEGRATED SAMPLE 0-2M,LONG LAKE - SAXEVILLE,44.21,-89.11,44.21839,-89.1125,8/23/2002,9/23/2002,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,FH024
32,DNR_STORET,CLOUD COVER,100,%,,,8/17/2006 0:00,8/17/2006 0:00,,,113133790,IR004364,FIELD TESTS,,,,,,,703055,,191100,LONG,LONG,,GRAB,LONG LAKE - EAST BASIN,44.21839,-89.1125,44.21839,-89.1125,8/18/2006,9/26/2006,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WT069
32,DNR_STORET,CLOUD COVER,0,%,,,9/6/2006 10:30,9/6/2006 10:30,,,113133790,IR006204,FIELD TESTS,,,,,,,703055,,191100,LONG,LONG,,GRAB,LONG LAKE - EAST BASIN,44.21839,-89.1125,44.21839,-89.1125,9/7/2006,9/26/2006,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WT069
32,DNR_STORET,CLOUD COVER,0,%,,,8/25/1993 10:20,,,1 Feet,113133790,IE005953,,,,,,,,703055,,,SURFACE,SURFACE,,,LONG LAKE EAST BASIN - WISC. LAKE MGMT. PLAN GRANT PROG.,44.21,-89.11,44.21839,-89.1125,8/26/1993,9/27/1993,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR176
32,DNR_STORET,CLOUD COVER,0,%,,,8/25/1993 10:20,,,48 Feet,113133790,IE005954,,,,,,,,703055,,,SURFACE,BOTTOM,,,LONG LAKE - EAST BASIN - WISC. LAKE MGMT. PLAN GRANT PROG.,44.21,-89.11,44.21839,-89.1125,8/26/1993,9/27/1993,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR176
32,DNR_STORET,CLOUD COVER,100,%,,,7/27/1993 11:10,,,1 Feet,113133790,IE002944,,,,,,,,703055,,,SURFACE,SURFACE,,WI LAKE MGMT. PLAN. GRANT PROG.,LONG LAKE NEAR SAXEVILLE - E. BASIN,44.21,-89.11,44.21839,-89.1125,7/28/1993,8/24/1993,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR176
32,DNR_STORET,CLOUD COVER,100,%,,,7/27/1993 11:10,,,54 Feet,113133790,IE002945,,,,,,,,703055,,,SURFACE,BOTTOM,,WI LAKE MGMT. PLAN. GRANT PROG.,LONG LAKE NEAR SAXEVILLE - E. BASIN,44.21,-89.11,44.21839,-89.1125,7/28/1993,8/24/1993,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR176
32,DNR_STORET,CLOUD COVER,30,%,,,5/4/1994 11:00,,,1 Feet,113133790,IE024927,,,,,,,,703055,,,SURFACE,SURFACE,,WISCONSIN LAKE PLANNING GRANT PROG.,LONG LAKE NEAR SAXEVILLE - EAST BASIN,44.21,-89.11,44.21839,-89.1125,5/5/1994,6/21/1994,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR204
32,DNR_STORET,CLOUD COVER,30,%,,,5/4/1994 11:00,,,60 Feet,113133790,IE024928,,,,,,,,703055,,,SURFACE,BOTTOM,,WISCONSIN LAKE PLANNING GRANT PROG.,LONG LAKE NEAR SAXEVILLE - EAST BASIN,44.21,-89.11,44.21839,-89.1125,5/5/1994,6/21/1994,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR204
76,DNR_STORET,TURBIDITY,1.9,NTU,,,4/25/2011 0:00,6/3/2011 0:00,,1 Feet,750040280,0147-11-01,2130 B,,,1,,3.333333,,703055,,191100,,,,hand,LONG LAKE-EAST BASIN -,0,0,44.21839,-89.1125,4/27/2011,1/23/2015,703055,Long Lake - East Basin,191100,Long Lake,LAKE,,NA,,
78,DNR_STORET,SECCHI DEPTH,17,M,,,6/23/1993 3:15,,,1 Feet,113133790,ID108650,,,,,,,,703055,,,SURFACE,SURFACE,,WISC. LAKE MGMT. PLAN GRANT PROG.,LONG LAKE NEAR SAXEVILLE - E. BASIN,44.21,-89.11,44.21839,-89.1125,6/24/1993,7/13/1993,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR133
78,DNR_STORET,SECCHI DEPTH,17,M,,,6/23/1993 3:15,,,53 Feet,113133790,ID108651,,,,,,,,703055,,,SURFACE,BOTTOM,,WISC. LAKE MGMT. PLAN GRANT PROG.,LONG LAKE NEAR SAXEVILLE - E. BASIN,44.21,-89.11,44.21839,-89.1125,6/24/1993,7/13/1993,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR133
78,DNR_STORET,SECCHI DEPTH,4,M,,,8/22/2002 13:00,,,"0 to 2 Meters, 2 to 0 Meters",113133790,IN004809,FIELD TESTS,,,,,,,703055,,191100,LO2,LO2,,DEEP SPOT - INTEGRATED SAMPLE 0-2M,LONG LAKE - SAXEVILLE,44.21,-89.11,44.21839,-89.1125,8/23/2002,9/23/2002,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,FH024
78,DNR_STORET,SECCHI DEPTH,4,M,,,8/22/2002 13:00,,,"0 to 2 Meters, 2 to 0 Meters",113133790,IN004809,VOLUME FIELD FILT FOR CHLOROPHYLL A (SM 10200H),,,,,,,703055,,191100,LO2,LO2,,DEEP SPOT - INTEGRATED SAMPLE 0-2M,LONG LAKE - SAXEVILLE,44.21,-89.11,44.21839,-89.1125,8/23/2002,9/23/2002,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,FH024
78,DNR_STORET,SECCHI DEPTH,4,M,,,8/22/2002 13:00,,,"0 to 2 Meters, 2 to 0 Meters",113133790,IN004809,FIELD TESTS,,,,,,,703055,,191100,LO2,LO2,,DEEP SPOT - INTEGRATED SAMPLE 0-2M,LONG LAKE - SAXEVILLE,44.21,-89.11,44.21839,-89.1125,8/23/2002,9/23/2002,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,FH024
78,DNR_STORET,SECCHI DEPTH,3.4,M,,,8/25/1993 10:20,,,1 Feet,113133790,IE005953,,,,,,,,703055,,,SURFACE,SURFACE,,,LONG LAKE EAST BASIN - WISC. LAKE MGMT. PLAN GRANT PROG.,44.21,-89.11,44.21839,-89.1125,8/26/1993,9/27/1993,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR176
78,DNR_STORET,SECCHI DEPTH,3.5,M,,,8/25/1993 10:20,,,48 Feet,113133790,IE005954,,,,,,,,703055,,,SURFACE,BOTTOM,,,LONG LAKE - EAST BASIN - WISC. LAKE MGMT. PLAN GRANT PROG.,44.21,-89.11,44.21839,-89.1125,8/26/1993,9/27/1993,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR176
78,DNR_STORET,SECCHI DEPTH,2.3,M,,,7/27/1993 11:10,,,1 Feet,113133790,IE002944,,,,,,,,703055,,,SURFACE,SURFACE,,WI LAKE MGMT. PLAN. GRANT PROG.,LONG LAKE NEAR SAXEVILLE - E. BASIN,44.21,-89.11,44.21839,-89.1125,7/28/1993,8/24/1993,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR176
78,DNR_STORET,SECCHI DEPTH,2.3,M,,,7/27/1993 11:10,,,54 Feet,113133790,IE002945,,,,,,,,703055,,,SURFACE,BOTTOM,,WI LAKE MGMT. PLAN. GRANT PROG.,LONG LAKE NEAR SAXEVILLE - E. BASIN,44.21,-89.11,44.21839,-89.1125,7/28/1993,8/24/1993,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR176
78,DNR_STORET,SECCHI DEPTH,3.8,M,,,5/4/1994 11:00,,,1 Feet,113133790,IE024927,,,,,,,,703055,,,SURFACE,SURFACE,,WISCONSIN LAKE PLANNING GRANT PROG.,LONG LAKE NEAR SAXEVILLE - EAST BASIN,44.21,-89.11,44.21839,-89.1125,5/5/1994,6/21/1994,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR204
78,DNR_STORET,SECCHI DEPTH,3.8,M,,,5/4/1994 11:00,,,60 Feet,113133790,IE024928,,,,,,,,703055,,,SURFACE,BOTTOM,,WISCONSIN LAKE PLANNING GRANT PROG.,LONG LAKE NEAR SAXEVILLE - EAST BASIN,44.21,-89.11,44.21839,-89.1125,5/5/1994,6/21/1994,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR204
80,DNR_STORET,COLOR,<5,COLOR UNITS,,,4/25/2011 0:00,6/13/2011 0:00,,1 Feet,750040280,0147-11-01,2120,,,5,,16.66667,,703055,,191100,,,,hand,LONG LAKE-EAST BASIN -,0,0,44.21839,-89.1125,4/27/2011,1/23/2015,703055,Long Lake - East Basin,191100,Long Lake,LAKE,,NA,,
80,DNR_STORET,COLOR,5,SU,,,8/22/2002 13:00,8/23/2002 0:00,,"0 to 2 Meters, 2 to 0 Meters",113133790,IN004809,"COLOR, TRUE, PT-CO (SM 2120B)",,,,5,,140,703055,,191100,LO2,LO2,,DEEP SPOT - INTEGRATED SAMPLE 0-2M,LONG LAKE - SAXEVILLE,44.21,-89.11,44.21839,-89.1125,8/23/2002,9/23/2002,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,FH024
80,DNR_STORET,COLOR,5,SU,,,9/6/2006 10:30,9/7/2006 0:00,,0 to 1 Feet,113133790,IR006204,"COLOR, TRUE, PT-CO (SM 2120B)",,,,5,,140,703055,,191100,LONG,LONG,,GRAB,LONG LAKE - EAST BASIN,44.21839,-89.1125,44.21839,-89.1125,9/7/2006,9/26/2006,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WT069
80,DNR_STORET,COLOR,5,SU,,,8/17/2006 0:00,8/18/2006 0:00,,0 to 1 Feet,113133790,IR004364,"COLOR, TRUE, PT-CO (SM 2120B)",,,,5,,140,703055,,191100,LONG,LONG,,GRAB,LONG LAKE - EAST BASIN,44.21839,-89.1125,44.21839,-89.1125,8/18/2006,9/26/2006,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WT069
80,DNR_STORET,COLOR,5,SU,,,5/4/1994 11:00,,,1 Feet,113133790,IE024927,,,,,,,,703055,,,SURFACE,SURFACE,,WISCONSIN LAKE PLANNING GRANT PROG.,LONG LAKE NEAR SAXEVILLE - EAST BASIN,44.21,-89.11,44.21839,-89.1125,5/5/1994,6/21/1994,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR204
80,DNR_STORET,COLOR,10,SU,,,5/4/1994 11:00,,,60 Feet,113133790,IE024928,,,,,,,,703055,,,SURFACE,BOTTOM,,WISCONSIN LAKE PLANNING GRANT PROG.,LONG LAKE NEAR SAXEVILLE - EAST BASIN,44.21,-89.11,44.21839,-89.1125,5/5/1994,6/21/1994,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR204
94,DNR_STORET,CONDUCTIVITY FIELD,225,UMHOS/CM,,,6/23/1993 3:15,,,1 Feet,113133790,ID108650,,,,,,,,703055,,,SURFACE,SURFACE,,WISC. LAKE MGMT. PLAN GRANT PROG.,LONG LAKE NEAR SAXEVILLE - E. BASIN,44.21,-89.11,44.21839,-89.1125,6/24/1993,7/13/1993,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR133
94,DNR_STORET,CONDUCTIVITY FIELD,214,UMHOS/CM,,,6/23/1993 3:15,,,53 Feet,113133790,ID108651,,,,,,,,703055,,,SURFACE,BOTTOM,,WISC. LAKE MGMT. PLAN GRANT PROG.,LONG LAKE NEAR SAXEVILLE - E. BASIN,44.21,-89.11,44.21839,-89.1125,6/24/1993,7/13/1993,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,WR133
94,DNR_STORET,CONDUCTIVITY FIELD,250,UMHOS/CM,,,8/22/2002 13:00,,,"0 to 2 Meters, 2 to 0 Meters",113133790,IN004809,FIELD TESTS,,,,,,,703055,,191100,LO2,LO2,,DEEP SPOT - INTEGRATED SAMPLE 0-2M,LONG LAKE - SAXEVILLE,44.21,-89.11,44.21839,-89.1125,8/23/2002,9/23/2002,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,FH024
94,DNR_STORET,CONDUCTIVITY FIELD,250,UMHOS/CM,,,8/22/2002 13:00,,,"0 to 2 Meters, 2 to 0 Meters",113133790,IN004809,VOLUME FIELD FILT FOR CHLOROPHYLL A (SM 10200H),,,,,,,703055,,191100,LO2,LO2,,DEEP SPOT - INTEGRATED SAMPLE 0-2M,LONG LAKE - SAXEVILLE,44.21,-89.11,44.21839,-89.1125,8/23/2002,9/23/2002,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,FH024
94,DNR_STORET,CONDUCTIVITY FIELD,250,UMHOS/CM,,,8/22/2002 13:00,,,"0 to 2 Meters, 2 to 0 Meters",113133790,IN004809,FIELD TESTS,,,,,,,703055,,191100,LO2,LO2,,DEEP SPOT - INTEGRATED SAMPLE 0-2M,LONG LAKE - SAXEVILLE,44.21,-89.11,44.21839,-89.1125,8/23/2002,9/23/2002,703055,Long Lake - East Basin,191100,Long Lake,LAKE,Pine and Willow Rivers,Waushara,Wolf River,FH024
